0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2022-05-03,09:40:04.215,0,0,0,7,7,7,6,7,7,Accel-X-Y-Z(m/s^2),-0.01,-3.85,-9.3,Magnetic-X-Y-Z(gauss),48.28,30.98,39.22,Gyro-X-Y-Z(dps),-0.05,-0.09,0.0
2022-05-03,09:40:04.236,0,0,0,7,7,6,6,6,7,Accel-X-Y-Z(m/s^2),0.02,-3.85,-9.22,Magnetic-X-Y-Z(gauss),48.39,30.39,38.87,Gyro-X-Y-Z(dps),-0.05,-0.09,0.01
2022-05-03,09:40:04.260,0,0,0,7,7,6,7,7,6,Accel-X-Y-Z(m/s^2),-0.16,-3.9,-9.3,Magnetic-X-Y-Z(gauss),48.98,30.8,38.52,Gyro-X-Y-Z(dps),-0.05,-0.09,0.01
2022-05-03,09:40:04.284,0,0,0,7,7,6,6,6,7,Accel-X-Y-Z(m/s^2),0.01,-3.83,-9.36,Magnetic-X-Y-Z(gauss),48.98,31.15,39.22,Gyro-X-Y-Z(dps),-0.05,-0.09,0.0
2022-05-03,09:40:04.308,0,0,0,6,7,7,6,7,7,Accel-X-Y-Z(m/s^2),-0.1,-3.85,-9.21,Magnetic-X-Y-Z(gauss),48.86,31.09,38.57,Gyro-X-Y-Z(dps),-0.05,-0.09,0.01
2022-05-03,09:40:04.331,0,0,0,8,7,6,7,7,7,Accel-X-Y-Z(m/s^2),0.0,-3.87,-9.35,Magnetic-X-Y-Z(gauss),48.98,30.57,39.68,Gyro-X-Y-Z(dps),-0.06,-0.09,0.01
2022-05-03,09:40:04.354,0,0,0,8,6,6,7,7,7,Accel-X-Y-Z(m/s^2),-0.03,-3.87,-9.31,Magnetic-X-Y-Z(gauss),48.92,31.33,39.28,Gyro-X-Y-Z(dps),-0.05,-0.1,0.01
2022-05-03,09:40:04.378,0,0,0,8,6,7,6,7,6,Accel-X-Y-Z(m/s^2),0.03,-3.86,-9.22,Magnetic-X-Y-Z(gauss),48.39,31.03,39.1,Gyro-X-Y-Z(dps),-0.05,-0.1,0.01
2022-05-03,09:40:04.402,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),-0.01,-3.91,-9.26,Magnetic-X-Y-Z(gauss),48.92,30.74,39.45,Gyro-X-Y-Z(dps),-0.05,-0.09,0.0
2022-05-03,09:40:04.426,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),0.04,-3.88,-9.22,Magnetic-X-Y-Z(gauss),48.86,31.15,39.8,Gyro-X-Y-Z(dps),-0.05,-0.09,0.0
2022-05-03,09:40:04.450,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),-0.01,-3.92,-9.4,Magnetic-X-Y-Z(gauss),48.51,31.09,39.33,Gyro-X-Y-Z(dps),-0.05,-0.09,0.0
2022-05-03,09:40:04.474,0,0,0,7,6,7,7,6,7,Accel-X-Y-Z(m/s^2),-0.02,-3.8,-9.19,Magnetic-X-Y-Z(gauss),48.45,30.98,38.81,Gyro-X-Y-Z(dps),-0.05,-0.09,0.0
2022-05-03,09:40:04.497,0,0,0,8,6,7,7,6,7,Accel-X-Y-Z(m/s^2),-0.02,-3.96,-9.32,Magnetic-X-Y-Z(gauss),48.86,30.63,39.98,Gyro-X-Y-Z(dps),-0.05,-0.1,0.0
2022-05-03,09:40:04.521,0,0,0,7,6,7,7,7,7,Accel-X-Y-Z(m/s^2),-0.11,-3.83,-9.19,Magnetic-X-Y-Z(gauss),49.09,30.86,39.57,Gyro-X-Y-Z(dps),-0.05,-0.09,0.01
2022-05-03,09:40:04.545,0,0,0,7,7,7,6,7,6,Accel-X-Y-Z(m/s^2),-0.08,-3.88,-9.27,Magnetic-X-Y-Z(gauss),48.33,30.92,39.28,Gyro-X-Y-Z(dps),-0.06,-0.09,0.0
2022-05-03,09:40:04.569,0,0,0,7,7,7,7,7,6,Accel-X-Y-Z(m/s^2),0.0,-3.88,-9.34,Magnetic-X-Y-Z(gauss),48.68,31.09,39.1,Gyro-X-Y-Z(dps),-0.06,-0.09,0.01
